CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2023 3 21 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 22 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 23 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 24 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 25 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 26 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 27 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 28 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 29 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 30 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 31 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 1 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 2 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 3 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 4 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 5 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 6 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 7 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 8 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 9 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 10 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 11 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 12 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 13 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 14 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 15 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 16 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 17 0 2.5803 0.03670012 2.4888 0.0000 
2023 4 18 0 3.4519 0.04901494 3.3094 0.0000 
2023 4 19 0 4.1559 0.05927924 4.0371 0.0000 
2023 4 20 0 4.9020 0.06999286 4.7780 0.0000 
2023 4 21 0 5.8093 0.08293015 5.6595 0.0000 
2023 4 22 0 6.8220 0.09742772 6.6542 0.0000 
2023 4 23 0 8.0602 0.11507963 7.8559 0.0000 
2023 4 24 0 8.8199 0.12639107 8.6889 0.0000 
2023 4 25 0 8.9578 0.12887330 8.9291 0.0000 
2023 4 26 0 8.6015 0.12413974 8.6563 0.0000 
2023 4 27 0 7.9125 0.11448683 8.0243 0.0000 
2023 4 28 0 7.1900 0.10411374 7.3101 0.0000 
2023 4 29 0 6.5791 0.09522899 6.6819 0.0000 
2023 4 30 0 6.0780 0.08792530 6.1625 0.0000 
2023 5 1 0 5.7086 0.08250151 5.7714 0.0000 
2023 5 2 0 5.5452 0.07998441 5.5743 0.0000 
2023 5 3 0 5.5395 0.07977600 5.5419 0.0000 
2023 5 4 0 5.5773 0.08028298 5.5714 0.0000 
2023 5 5 0 5.5283 0.07964520 5.5357 0.0000 
2023 5 6 0 5.3535 0.07722843 5.3815 0.0000 
2023 5 7 0 5.1102 0.07378065 5.1501 0.0000 
2023 5 8 0 5.0477 0.07273940 5.0597 0.0000 
2023 5 9 0 5.5777 0.07990361 5.4948 0.0000 
2023 5 10 0 7.4762 0.10615824 7.1723 0.0000 
2023 5 11 0 9.4736 0.13482351 9.1418 0.0000 
2023 5 12 0 12.0023 0.17081761 11.5857 0.0000 
2023 5 13 0 14.4355 0.20592263 14.0292 0.0000 
2023 5 14 0 15.8478 0.22706300 15.6031 0.0000 
2023 5 15 0 18.0885 0.25869452 17.7224 0.0000 
2023 5 16 0 21.4604 0.30634883 20.9088 0.0000 
2023 5 17 0 21.3943 0.30807959 21.3742 0.0000 
2023 5 18 0 19.3622 0.28041281 19.6825 0.0000 
2023 5 19 0 17.2454 0.25002653 17.5971 0.0000 
2023 5 20 0 15.8382 0.22920649 16.0792 0.0000 
2023 5 21 0 14.6503 0.21191842 14.8504 0.0000 
2023 5 22 0 13.7103 0.19818419 13.8693 0.0000 
2023 5 23 0 14.2140 0.20430030 14.1432 0.0000 
2023 5 24 0 14.8319 0.21308702 14.7302 0.0000 
2023 5 25 0 14.7583 0.21256832 14.7643 0.0000 
2023 5 26 0 14.9241 0.21477818 14.8985 0.0000 
2023 5 27 0 14.4753 0.20879380 14.5445 0.0000 
2023 5 28 0 13.0986 0.18970694 13.3195 0.0000 
2023 5 29 0 11.1956 0.16273094 11.5078 0.0000 
2023 5 30 0 9.5871 0.13934492 9.8577 0.0000 
2023 5 31 0 8.2168 0.11942114 8.4474 0.0000 
2023 6 1 0 7.0760 0.10281055 7.2683 0.0000 
2023 6 2 0 6.0348 0.08773600 6.2093 0.0000 
2023 6 3 0 5.1233 0.07450630 5.2764 0.0000 
2023 6 4 0 4.4024 0.06397456 4.5243 0.0000 
2023 6 5 0 3.8110 0.05535358 3.9108 0.0000 
2023 6 6 0 3.2951 0.04786274 3.3818 0.0000 
2023 6 7 0 2.8423 0.04129251 2.9184 0.0000 
2023 6 8 0 2.4494 0.03558596 2.5154 0.0000 
2023 6 9 0 2.1047 0.03058438 2.1626 0.0000 
2023 6 10 0 2.0000 0.02888733 2.0196 0.0000 
2023 6 11 0 2.0000 0.02880155 2.0010 0.0000 
2023 6 12 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 13 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 14 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 15 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 16 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 17 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 18 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 19 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 20 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 21 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 22 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 23 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 24 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 25 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 26 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 27 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 28 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 29 0 2.0000 0.02880000 2.0000 0.0000 
2023 6 30 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 1 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 2 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 3 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 4 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 5 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 6 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 7 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 8 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 9 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 10 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 11 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 12 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 13 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 14 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 15 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 16 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 17 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 18 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 19 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 20 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 21 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 22 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 23 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 24 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 25 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 26 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 27 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 28 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 29 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 30 0 2.0000 0.02880000 2.0000 0.0000 
2023 7 31 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 1 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 2 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 3 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 4 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 5 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 6 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 7 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 8 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 9 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 10 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 11 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 12 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 13 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 14 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 15 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 16 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 17 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 18 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 19 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 20 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 21 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 22 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 23 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 24 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 25 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 26 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 27 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 28 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 29 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 30 0 2.0000 0.02880000 2.0000 0.0000 
2023 8 31 0 2.0000 0.02880000 2.0000 0.0000 
